2021/02/27 01:27:48 [error] 10#10: *30 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:28:52 [error] 10#10: *32 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:29:55 [error] 10#10: *34 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:30:58 [error] 10#10: *36 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:32:01 [error] 10#10: *38 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:33:04 [error] 10#10: *40 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:33:28 [error] 10#10: *42 upstream prematurely closed connection while reading upstream, client: 172.22.0.1, server: , request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.2:3000/_loading/sse", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:33:28 [error] 10#10: *18 upstream prematurely closed connection while reading upstream, client: 172.22.0.1, server: , request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.2:3000/__webpack_hmr/client", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:34:04 [warn] 9#9: *17 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/commons/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/commons/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
2021/02/27 01:34:04 [warn] 9#9: *19 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.22.0.1, server: , request: "GET /_nuxt/vendors/app.js HTTP/1.1", upstream: "http://172.22.0.2:3000/_nuxt/vendors/app.js", host: "localhost:8080", referrer: "http://localhost:8080/"
